[[559, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[380, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[658, 0], [0, 0], [0, 0], [0, 0], [-18394, -70698], [259, -7129], [0, 0], [-1629, 2564], [288, 14984], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[495, 0], [0, 0], [0, 0], [0, 0], [55110, 7502], [4378, 2414], [0, 0], [495, -737], [-11159, -4136], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[773, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[755, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[734, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[62, 0], [0, 0], [0, 0], [0, 0], [12068, -19340], [1488, -1417], [0, 0], [-342, 552], [-3501, 3280], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[833, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[812, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[161, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[575, 0], [0, 0], [0, 0], [0, 0], [61254, -54610], [6454, -3153], [0, 0], [-801, 1321], [-15575, 7960], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[140, 0], [0, 0], [0, 0], [0, 0], [13092, -29692], [1834, -2345], [0, 0], [-558, 895], [-4237, 5296], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[927, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[674, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[375, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[122, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[653, 0], [0, 0], [0, 0], [0, 0], [-43444, -74108], [-1731, -8227], [0, 0], [-1854, 2899], [5361, 16864], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[474, 0], [0, 0], [0, 0], [0, 0], [10642, -56254], [2301, -4884], [0, 0], [-1143, 1819], [-5062, 10712], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

