[[708, 1], [0, 0], [0, 0], [0, 0], [-924, 518], [-31, 12], [0, 0], [-200, 15], [258, -49], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[57, 2], [0, 0], [0, 0], [0, 0], [989, -926], [32, 22], [0, 0], [-137, 23], [-282, 168], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[36, 0], [0, 0], [0, 0], [0, 0], [18000, -1896], [0, 0], [0, 0], [0, 0], [-4488, -576], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[823, 1], [0, 0], [0, 0], [0, 0], [-924, 518], [-31, 12], [0, 0], [-200, 15], [258, -49], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[570, 2], [0, 0], [0, 0], [0, 0], [989, -926], [32, 22], [0, 0], [-137, 23], [-282, 168], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[15, 2], [0, 0], [0, 0], [0, 0], [989, -926], [32, 22], [0, 0], [-137, 23], [-282, 168], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[786, 1], [0, 0], [0, 0], [0, 0], [-924, 518], [-31, 12], [0, 0], [-200, 15], [258, -49], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[549, 0], [0, 0], [0, 0], [0, 0], [-16056, -67512], [0, 0], [0, 0], [0, 0], [-24, 16080], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[370, 0], [0, 0], [0, 0], [0, 0], [-33360, -29440], [0, 0], [0, 0], [0, 0], [6400, 8480], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[512, 2], [0, 0], [0, 0], [0, 0], [989, -926], [32, 22], [0, 0], [-137, 23], [-282, 168], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[901, 1], [0, 0], [0, 0], [0, 0], [-924, 518], [-31, 12], [0, 0], [-200, 15], [258, -49], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[96, 1], [0, 0], [0, 0], [0, 0], [-924, 518], [-31, 12], [0, 0], [-200, 15], [258, -49], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[485, 2], [0, 0], [0, 0], [0, 0], [989, -926], [32, 22], [0, 0], [-137, 23], [-282, 168], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[883, 0], [0, 0], [0, 0], [0, 0], [33288, -59528], [0, 0], [0, 0], [0, 0], [-11560, 11536], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

